load_torque_Nm,current_A,speed_RPM,effective_voltage_V,mechanical_power_W,electrical_power_W,efficiency_percent,current_limited
0.00141,0.2946202532,3614.936709,24,0.5337629546,7.070886076,7.548742107,0
0.00142,0.2947860157,3614.924653,24,0.5375467148,7.074864376,7.597979073,0
0.00143,0.2949517782,3614.912598,24,0.5413304497,7.078842676,7.647160341,0
0.00144,0.2951175407,3614.900542,24,0.5451141594,7.082820976,7.696286003,0
0.00145,0.2952833032,3614.888487,24,0.5488978439,7.086799277,7.745356154,0
0.00146,0.2954490657,3614.876432,24,0.5526815031,7.090777577,7.794370886,0
0.00147,0.2956148282,3614.864376,24,0.556465137,7.094755877,7.843330294,0
0.00148,0.2957805907,3614.852321,24,0.5602487457,7.098734177,7.892234471,0
0.00149,0.2959463532,3614.840265,24,0.5640323292,7.102712477,7.941083508,0
0.0015,0.2961121157,3614.82821,24,0.5678158874,7.106690778,7.989877499,0
0.00151,0.2962778782,3614.816154,24,0.5715994203,7.110669078,8.038616537,0
0.00152,0.2964436407,3614.804099,24,0.5753829281,7.114647378,8.087300712,0
0.00153,0.2966094033,3614.792043,24,0.5791664105,7.118625678,8.135930118,0
0.00154,0.2967751658,3614.779988,24,0.5829498677,7.122603978,8.184504845,0
0.00155,0.2969409283,3614.767932,24,0.5867332997,7.126582278,8.233024987,0
0.00156,0.2971066908,3614.755877,24,0.5905167064,7.130560579,8.281490633,0
0.00157,0.2972724533,3614.743822,24,0.5943000879,7.134538879,8.329901875,0
0.00158,0.2974382158,3614.731766,24,0.5980834441,7.138517179,8.378258805,0
0.00159,0.2976039783,3614.719711,24,0.6018667751,7.142495479,8.426561512,0
0.0016,0.2977697408,3614.707655,24,0.6056500808,7.146473779,8.474810088,0
0.00161,0.2979355033,3614.6956,24,0.6094333612,7.15045208,8.523004622,0
0.00162,0.2981012658,3614.683544,24,0.6132166165,7.15443038,8.571145205,0
0.00163,0.2982670283,3614.671489,24,0.6169998464,7.15840868,8.619231927,0
0.00164,0.2984327908,3614.659433,24,0.6207830512,7.16238698,8.667264878,0
0.00165,0.2985985533,3614.647378,24,0.6245662306,7.16636528,8.715244147,0
0.00166,0.2987643159,3614.635322,24,0.6283493849,7.17034358,8.763169823,0
0.00167,0.2989300784,3614.623267,24,0.6321325138,7.174321881,8.811041996,0
0.00168,0.2990958409,3614.611212,24,0.6359156176,7.178300181,8.858860755,0
0.00169,0.2992616034,3614.599156,24,0.639698696,7.182278481,8.906626187,0
0.0017,0.2994273659,3614.587101,24,0.6434817493,7.186256781,8.954338383,0
0.00171,0.2995931284,3614.575045,24,0.6472647772,7.190235081,9.00199743,0
0.00172,0.2997588909,3614.56299,24,0.65104778,7.194213382,9.049603417,0
0.00173,0.2999246534,3614.550934,24,0.6548307575,7.198191682,9.097156431,0
0.00174,0.3000904159,3614.538879,24,0.6586137097,7.202169982,9.14465656,0
0.00175,0.3002561784,3614.526823,24,0.6623966367,7.206148282,9.192103892,0
0.00176,0.3004219409,3614.514768,24,0.6661795384,7.210126582,9.239498514,0
0.00177,0.3005877034,3614.502712,24,0.6699624149,7.214104882,9.286840513,0
0.00178,0.3007534659,3614.490657,24,0.6737452661,7.218083183,9.334129977,0
0.00179,0.3009192285,3614.478602,24,0.6775280921,7.222061483,9.381366993,0
0.0018,0.301084991,3614.466546,24,0.6813108929,7.226039783,9.428551646,0
0.00181,0.3012507535,3614.454491,24,0.6850936684,7.230018083,9.475684023,0
0.00182,0.301416516,3614.442435,24,0.6888764186,7.233996383,9.522764211,0
0.00183,0.3015822785,3614.43038,24,0.6926591436,7.237974684,9.569792295,0
0.00184,0.301748041,3614.418324,24,0.6964418433,7.241952984,9.616768362,0
0.00185,0.3019138035,3614.406269,24,0.7002245178,7.245931284,9.663692497,0
0.00186,0.302079566,3614.394213,24,0.7040071671,7.249909584,9.710564786,0
0.00187,0.3022453285,3614.382158,24,0.7077897911,7.253887884,9.757385314,0
0.00188,0.302411091,3614.370102,24,0.7115723898,7.257866184,9.804154165,0
0.00189,0.3025768535,3614.358047,24,0.7153549633,7.261844485,9.850871426,0
0.0019,0.302742616,3614.345992,24,0.7191375116,7.265822785,9.89753718,0
0.00191,0.3029083785,3614.333936,24,0.7229200346,7.269801085,9.944151513,0
0.00192,0.303074141,3614.321881,24,0.7267025323,7.273779385,9.990714508,0
0.00193,0.3032399036,3614.309825,24,0.7304850049,7.277757685,10.03722625,0
0.00194,0.3034056661,3614.29777,24,0.7342674521,7.281735986,10.08368682,0
0.00195,0.3035714286,3614.285714,24,0.7380498741,7.285714286,10.13009631,0
0.00196,0.3037371911,3614.273659,24,0.7418322709,7.289692586,10.1764548,0
0.00197,0.3039029536,3614.261603,24,0.7456146424,7.293670886,10.22276237,0
0.00198,0.3040687161,3614.249548,24,0.7493969886,7.297649186,10.2690191,0
0.00199,0.3042344786,3614.237492,24,0.7531793097,7.301627486,10.31522508,0
0.002,0.3044002411,3614.225437,24,0.7569616054,7.305605787,10.36138039,0
0.00201,0.3045660036,3614.213382,24,0.7607438759,7.309584087,10.40748512,0
0.00202,0.3047317661,3614.201326,24,0.7645261212,7.313562387,10.45353934,0
0.00203,0.3048975286,3614.189271,24,0.7683083412,7.317540687,10.49954314,0
0.00204,0.3050632911,3614.177215,24,0.772090536,7.321518987,10.5454966,0
0.00205,0.3052290536,3614.16516,24,0.7758727055,7.325497288,10.59139981,0
0.00206,0.3053948162,3614.153104,24,0.7796548498,7.329475588,10.63725284,0
0.00207,0.3055605787,3614.141049,24,0.7834369688,7.333453888,10.68305577,0
0.00208,0.3057263412,3614.128993,24,0.7872190626,7.337432188,10.72880869,0
0.00209,0.3058921037,3614.116938,24,0.7910011311,7.341410488,10.77451169,0
0.0021,0.3060578662,3614.104882,24,0.7947831744,7.345388788,10.82016483,0
0.00211,0.3062236287,3614.092827,24,0.7985651924,7.349367089,10.86576821,0
0.00212,0.3063893912,3614.080772,24,0.8023471852,7.353345389,10.91132189,0
0.00213,0.3065551537,3614.068716,24,0.8061291527,7.357323689,10.95682597,0
0.00214,0.3067209162,3614.056661,24,0.809911095,7.361301989,11.00228052,0
