load_torque_Nm;mechanical_power_W
0.00784;2.961509316
0.00785;2.965276841
0.00786;2.969044341
0.00787;2.972811816
0.00788;2.976579265
0.00789;2.98034669
0.0079;2.984114089
0.00791;2.987881462
0.00792;2.991648811
0.00793;2.995416134
0.00794;2.999183432
0.00795;3.002950704
0.00796;3.006717952
0.00797;3.010485174
0.00798;3.014252371
0.00799;3.018019543
0.008;3.021786689
0.00801;3.02555381
0.00802;3.029320906
0.00803;3.033087977
0.00804;3.036855022
0.00805;3.040622042
0.00806;3.044389037
0.00807;3.048156007
0.00808;3.051922952
0.00809;3.055689871
0.0081;3.059456765
0.00811;3.063223633
0.00812;3.066990477
0.00813;3.070757295
0.00814;3.074524088
0.00815;3.078290856
0.00816;3.082057598
0.00817;3.085824315
0.00818;3.089591007
0.00819;3.093357674
0.0082;3.097124315
0.00821;3.100890932
0.00822;3.104657523
0.00823;3.108424088
0.00824;3.112190629
0.00825;3.115957144
0.00826;3.119723634
0.00827;3.123490099
0.00828;3.127256538
0.00829;3.131022952
0.0083;3.134789341
0.00831;3.138555705
0.00832;3.142322043
0.00833;3.146088357
0.00834;3.149854645
0.00835;3.153620907
0.00836;3.157387145
0.00837;3.161153357
0.00838;3.164919544
0.00839;3.168685706
0.0084;3.172451842
0.00841;3.176217953
0.00842;3.179984039
0.00843;3.1837501
0.00844;3.187516136
0.00845;3.191282146
0.00846;3.195048131
0.00847;3.198814091
0.00848;3.202580025
0.00849;3.206345934
0.0085;3.210111818
0.00851;3.213877677
0.00852;3.21764351
0.00853;3.221409319
0.00854;3.225175102
0.00855;3.228940859
0.00856;3.232706592
0.00857;3.236472299
0.00858;3.240237981
0.00859;3.244003638
0.0086;3.247769269
0.00861;3.251534876
0.00862;3.255300457
0.00863;3.259066012
0.00864;3.262831543
0.00865;3.266597048
0.00866;3.270362528
0.00867;3.274127983
0.00868;3.277893412
0.00869;3.281658817
0.0087;3.285424196
0.00871;3.289189549
0.00872;3.292954878
0.00873;3.296720181
0.00874;3.300485459
0.00875;3.304250712
0.00876;3.30801594
0.00877;3.311781142
0.00878;3.315546319
0.00879;3.319311471
0.0088;3.323076597
0.00881;3.326841698
0.00882;3.330606774
0.00883;3.334371825
0.00884;3.338136851
0.00885;3.341901851
0.00886;3.345666826
0.00887;3.349431776
0.00888;3.3531967
0.00889;3.3569616
0.0089;3.360726474
0.00891;3.364491322
0.00892;3.368256146
0.00893;3.372020944
0.00894;3.375785717
0.00895;3.379550465
0.00896;3.383315188
