load_torque_Nm;current_A
0.00579;0.3672242315
0.0058;0.367389994
0.00581;0.3675557565
0.00582;0.367721519
0.00583;0.3678872815
0.00584;0.368053044
0.00585;0.3682188065
0.00586;0.368384569
0.00587;0.3685503315
0.00588;0.368716094
0.00589;0.3688818565
0.0059;0.369047619
0.00591;0.3692133816
0.00592;0.3693791441
0.00593;0.3695449066
0.00594;0.3697106691
0.00595;0.3698764316
0.00596;0.3700421941
0.00597;0.3702079566
0.00598;0.3703737191
0.00599;0.3705394816
0.006;0.3707052441
0.00601;0.3708710066
0.00602;0.3710367691
0.00603;0.3712025316
0.00604;0.3713682942
0.00605;0.3715340567
0.00606;0.3716998192
0.00607;0.3718655817
0.00608;0.3720313442
0.00609;0.3721971067
0.0061;0.3723628692
0.00611;0.3725286317
0.00612;0.3726943942
0.00613;0.3728601567
0.00614;0.3730259192
0.00615;0.3731916817
0.00616;0.3733574442
0.00617;0.3735232068
0.00618;0.3736889693
0.00619;0.3738547318
0.0062;0.3740204943
0.00621;0.3741862568
0.00622;0.3743520193
0.00623;0.3745177818
0.00624;0.3746835443
0.00625;0.3748493068
0.00626;0.3750150693
0.00627;0.3751808318
0.00628;0.3753465943
0.00629;0.3755123568
0.0063;0.3756781193
0.00631;0.3758438819
0.00632;0.3760096444
0.00633;0.3761754069
0.00634;0.3763411694
0.00635;0.3765069319
0.00636;0.3766726944
0.00637;0.3768384569
0.00638;0.3770042194
0.00639;0.3771699819
0.0064;0.3773357444
0.00641;0.3775015069
0.00642;0.3776672694
0.00643;0.3778330319
0.00644;0.3779987945
0.00645;0.378164557
0.00646;0.3783303195
0.00647;0.378496082
0.00648;0.3786618445
0.00649;0.378827607
0.0065;0.3789933695
0.00651;0.379159132
0.00652;0.3793248945
0.00653;0.379490657
0.00654;0.3796564195
0.00655;0.379822182
0.00656;0.3799879445
0.00657;0.3801537071
0.00658;0.3803194696
0.00659;0.3804852321
0.0066;0.3806509946
0.00661;0.3808167571
0.00662;0.3809825196
0.00663;0.3811482821
0.00664;0.3813140446
0.00665;0.3814798071
0.00666;0.3816455696
0.00667;0.3818113321
0.00668;0.3819770946
0.00669;0.3821428571
0.0067;0.3823086197
0.00671;0.3824743822
0.00672;0.3826401447
0.00673;0.3828059072
0.00674;0.3829716697
0.00675;0.3831374322
0.00676;0.3833031947
0.00677;0.3834689572
0.00678;0.3836347197
0.00679;0.3838004822
0.0068;0.3839662447
0.00681;0.3841320072
0.00682;0.3842977697
0.00683;0.3844635322
0.00684;0.3846292948
0.00685;0.3847950573
