load_torque_Nm;speed_RPM
0.00799;3607.004219
0.008;3606.992164
0.00801;3606.980108
0.00802;3606.968053
0.00803;3606.955998
0.00804;3606.943942
0.00805;3606.931887
0.00806;3606.919831
0.00807;3606.907776
0.00808;3606.89572
0.00809;3606.883665
0.0081;3606.871609
0.00811;3606.859554
0.00812;3606.847498
0.00813;3606.835443
0.00814;3606.823388
0.00815;3606.811332
0.00816;3606.799277
0.00817;3606.787221
0.00818;3606.775166
0.00819;3606.76311
0.0082;3606.751055
0.00821;3606.738999
0.00822;3606.726944
0.00823;3606.714888
0.00824;3606.702833
0.00825;3606.690778
0.00826;3606.678722
0.00827;3606.666667
0.00828;3606.654611
0.00829;3606.642556
0.0083;3606.6305
0.00831;3606.618445
0.00832;3606.606389
0.00833;3606.594334
0.00834;3606.582278
0.00835;3606.570223
0.00836;3606.558168
0.00837;3606.546112
0.00838;3606.534057
0.00839;3606.522001
0.0084;3606.509946
0.00841;3606.49789
0.00842;3606.485835
0.00843;3606.473779
0.00844;3606.461724
0.00845;3606.449668
0.00846;3606.437613
0.00847;3606.425558
0.00848;3606.413502
0.00849;3606.401447
0.0085;3606.389391
0.00851;3606.377336
0.00852;3606.36528
0.00853;3606.353225
0.00854;3606.341169
0.00855;3606.329114
0.00856;3606.317058
0.00857;3606.305003
0.00858;3606.292948
0.00859;3606.280892
0.0086;3606.268837
0.00861;3606.256781
0.00862;3606.244726
0.00863;3606.23267
0.00864;3606.220615
0.00865;3606.208559
0.00866;3606.196504
0.00867;3606.184448
0.00868;3606.172393
0.00869;3606.160338
0.0087;3606.148282
0.00871;3606.136227
0.00872;3606.124171
0.00873;3606.112116
0.00874;3606.10006
0.00875;3606.088005
0.00876;3606.075949
0.00877;3606.063894
0.00878;3606.051838
0.00879;3606.039783
0.0088;3606.027728
0.00881;3606.015672
0.00882;3606.003617
0.00883;3605.991561
0.00884;3605.979506
0.00885;3605.96745
0.00886;3605.955395
0.00887;3605.943339
0.00888;3605.931284
0.00889;3605.919228
0.0089;3605.907173
0.00891;3605.895118
0.00892;3605.883062
0.00893;3605.871007
0.00894;3605.858951
0.00895;3605.846896
0.00896;3605.83484
0.00897;3605.822785
0.00898;3605.810729
0.00899;3605.798674
0.009;3605.786618
0.00901;3605.774563
0.00902;3605.762508
0.00903;3605.750452
0.00904;3605.738397
