load_torque_Nm;efficiency_percent
0.00783;30.72992892
0.00784;30.7563599
0.00785;30.78276879
0.00786;30.80915561
0.00787;30.83552039
0.00788;30.86186317
0.00789;30.88818395
0.0079;30.91448278
0.00791;30.94075968
0.00792;30.96701468
0.00793;30.9932478
0.00794;31.01945907
0.00795;31.04564852
0.00796;31.07181618
0.00797;31.09796207
0.00798;31.12408621
0.00799;31.15018864
0.008;31.17626938
0.00801;31.20232847
0.00802;31.22836591
0.00803;31.25438175
0.00804;31.28037601
0.00805;31.30634871
0.00806;31.33229989
0.00807;31.35822956
0.00808;31.38413776
0.00809;31.41002451
0.0081;31.43588983
0.00811;31.46173376
0.00812;31.48755632
0.00813;31.51335753
0.00814;31.53913743
0.00815;31.56489603
0.00816;31.59063337
0.00817;31.61634947
0.00818;31.64204436
0.00819;31.66771805
0.0082;31.69337058
0.00821;31.71900198
0.00822;31.74461227
0.00823;31.77020147
0.00824;31.79576961
0.00825;31.82131672
0.00826;31.84684283
0.00827;31.87234794
0.00828;31.89783211
0.00829;31.92329534
0.0083;31.94873766
0.00831;31.97415911
0.00832;31.9995597
0.00833;32.02493946
0.00834;32.05029842
0.00835;32.0756366
0.00836;32.10095402
0.00837;32.12625072
0.00838;32.15152671
0.00839;32.17678202
0.0084;32.20201668
0.00841;32.22723071
0.00842;32.25242414
0.00843;32.27759699
0.00844;32.30274929
0.00845;32.32788105
0.00846;32.35299232
0.00847;32.3780831
0.00848;32.40315343
0.00849;32.42820333
0.0085;32.45323282
0.00851;32.47824194
0.00852;32.5032307
0.00853;32.52819912
0.00854;32.55314724
0.00855;32.57807508
0.00856;32.60298266
0.00857;32.62787001
0.00858;32.65273715
0.00859;32.6775841
0.0086;32.70241089
0.00861;32.72721754
0.00862;32.75200409
0.00863;32.77677054
0.00864;32.80151693
0.00865;32.82624328
0.00866;32.85094961
0.00867;32.87563595
0.00868;32.90030233
0.00869;32.92494876
0.0087;32.94957527
0.00871;32.97418188
0.00872;32.99876862
0.00873;33.02333551
0.00874;33.04788258
0.00875;33.07240984
0.00876;33.09691733
0.00877;33.12140506
0.00878;33.14587306
0.00879;33.17032136
0.0088;33.19474997
0.00881;33.21915892
0.00882;33.24354823
0.00883;33.26791793
0.00884;33.29226804
0.00885;33.31659859
0.00886;33.34090959
0.00887;33.36520107
0.00888;33.38947305
0.00889;33.41372556
0.0089;33.43795862
0.00891;33.46217225
0.00892;33.48636647
0.00893;33.51054132
0.00894;33.5346968
0.00895;33.55883295
0.00896;33.58294979
0.00897;33.60704734
0.00898;33.63112562
0.00899;33.65518465
0.009;33.67922447
0.00901;33.70324508
0.00902;33.72724652
0.00903;33.75122881
0.00904;33.77519197
0.00905;33.79913601
0.00906;33.82306097
0.00907;33.84696687
0.00908;33.87085373
0.00909;33.89472157
0.0091;33.91857041
0.00911;33.94240028
0.00912;33.9662112
0.00913;33.99000319
0.00914;34.01377628
0.00915;34.03753047
0.00916;34.06126581
0.00917;34.08498231
0.00918;34.10867999
0.00919;34.13235887
0.0092;34.15601898
0.00921;34.17966034
0.00922;34.20328297
0.00923;34.22688689
0.00924;34.25047212
0.00925;34.27403869
0.00926;34.29758662
0.00927;34.32111593
0.00928;34.34462664
0.00929;34.36811877
0.0093;34.39159235
0.00931;34.4150474
0.00932;34.43848393
0.00933;34.46190197
0.00934;34.48530155
0.00935;34.50868267
0.00936;34.53204538
0.00937;34.55538967
0.00938;34.57871559
0.00939;34.60202314
0.0094;34.62531236
0.00941;34.64858326
0.00942;34.67183586
0.00943;34.69507018
0.00944;34.71828625
0.00945;34.74148408
0.00946;34.76466371
0.00947;34.78782514
0.00948;34.8109684
0.00949;34.83409352
0.0095;34.8572005
0.00951;34.88028938
0.00952;34.90336018
0.00953;34.92641291
0.00954;34.94944759
0.00955;34.97246425
0.00956;34.99546291
0.00957;35.01844359
0.00958;35.04140631
0.00959;35.06435109
0.0096;35.08727795
0.00961;35.11018691
0.00962;35.133078
0.00963;35.15595122
0.00964;35.17880661
0.00965;35.20164419
0.00966;35.22446397
0.00967;35.24726597
0.00968;35.27005022
0.00969;35.29281674
0.0097;35.31556554
0.00971;35.33829665
0.00972;35.36101009
0.00973;35.38370587
0.00974;35.40638403
0.00975;35.42904457
0.00976;35.45168752
0.00977;35.47431289
0.00978;35.49692072
0.00979;35.51951102
0.0098;35.5420838
0.00981;35.56463909
0.00982;35.58717691
0.00983;35.60969729
0.00984;35.63220023
0.00985;35.65468576
